"Problem","DateModified","Initials","SequenceNumber","NEWLOC","MAPLOC","DEPOSIT","Latitude","Longitude","Location_type","DMSLAT","DMSLONG","24kquad","100kQuad","CountyName","LandOwner","FSAgencyName","OrangeNum","1x2degreeQuadrangle","lon_WGS84","lat_WGS84","TOWNSHIP","RANGE","SECTION","QSECTION","OBJECTID","ZIP_CODE","Mining_District","Hard_File"
,,,"EC0343","EC0343"," 343","Red Bluff Mine (Red Bluffs)",45.1597,-115.4028,0,450935,1152410,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","197","EC",-115.403609194,45.1595305299,"021N","009E",18,"NW",3379,83677,"","NO"
,,,"EC0344","EC0344"," 344","Snowbird Mine",45.16058,-115.40716,3,450938,1152426,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","198","EC",-115.407969329,45.1604104936,"021N","009E",18,"NW",3380,83677,"","YES"
,,,"EC0345","EC0345"," 345","Morning Star",45.1578,-115.4028,0,450928,1152410,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","199","EC",-115.403609167,45.1576305416,"021N","009E",18,"NW",3381,83677,"","NO"
,,,"EC0346","EC0346"," 346","Blue Bluff Prospect",45.1583,-115.3864,0,450930,1152311,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","200","EC",-115.387208712,45.1581306547,"021N","009E",17,"NE",3382,83677,"Edwardsburg","NO"
,,,"EC0347","EC0347"," 347","Lost Cabin Prospect",45.1567,-115.3997,0,450924,1152359,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","202","EC",-115.400509064,45.1565305703,"021N","009E",18,"NW",3383,83677,"Edwardsburg","NO"
,,,"EC0348","EC0348"," 348","Independence Prospect (Hennessey Camp)",45.15399,-115.39206,3,450914,1152331,"WOLF FANG PEAK","WARREN ","VALLEY","Private","Payette NF","201","EC",-115.392868811,45.153820641,"021N","009E",17,"SW",3384,83677,"Edwardsburg","YES"
,,,"EC0349","EC0349"," 349","White Metal Prospect",45.1531,-115.4078,0,450911,1152428,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","205","EC",-115.408609242,45.15293053489999,"021N","009E",18,"NW",3385,83677,"Edwardsburg","NO"
,,,"EC0350","EC0350"," 350","Pickaway Group (Big Creek Gold Mines, Inc.)",45.14861,-115.39417,3,450855,1152339,"WOLF FANG PEAK","WARREN ","VALLEY","Private","Payette NF",,,-115.394978794,45.1484406591,"021N","009E",17,"NE",3386,83677,"Edwardsburg","YES"
,,,"EC0351","EC0351"," 351","Crown",45.15,-115.3939,0,450900,1152338,"WOLF FANG PEAK","WARREN ","VALLEY","Private",,"207","EC",-115.394708806,45.1498306524,"021N","009E",17,"NE",3387,83677,"Edwardsburg","NO"
,,,"EC0352","EC0352"," 352","Copper Glance",45.1489,-115.3914,0,450856,1152329,"WOLF FANG PEAK","WARREN ","VALLEY","Private","Payette NF","212","EC",-115.39220872,45.14873067689999,"021N","009E",20,"NW",3388,83677,"Edwardsburg","NO"
,,,"EC0353","EC0353"," 353","Elkridge Deposit (Kress Tungsten)",45.1428,-115.4031,0,450834,1152411,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","208","EC",-115.403908963,45.1426306316,"021N","009E",19,"NE",3389,83677,"Edwardsburg","NO"
,,,"EC0354","EC0354"," 354","Empress",45.1392,-115.4042,0,450821,1152415,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","209","EC",-115.405008944,45.13903064589999,"021N","009E",19,"NE",3390,83677,"Edwardsburg","NO"
,,,"EC0355","EC0355"," 355","Antimony Rainbow Group Mine (Dokka; Dixie Mine; Antimony; Rainbow Group)",45.13116,-115.40212,3,450752,1152408,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","210","EC",-115.402928771,45.1309907103,"021N","009E",30,"ALL",3391,83677,"Edwardsburg","YES"
,,,"EC0356","EC0356"," 356","Gold King",45.1361,-115.4028,0,450810,1152410,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","211","EC",-115.40360886,45.135930675,"021N","009E",30,"ALL",3392,83677,"Edwardsburg","NO"
,,,"EC0357","EC0357"," 357","Unnamed prospect",45.1364,-115.3822,0,450811,1152256,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","222","EC",-115.383008284,45.136230819,"021N","009E",29,"ALL",3393,83677,"Edwardsburg","NO"
,,,"EC0358","EC0358"," 358","Unnamed location",45.1339,-115.40274,3,450802,1152410,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","213","EC",-115.403548828,45.133730689,"021N","009E",30,"ALL",3394,83677,"Edwardsburg","NO"
,,,"EC0359","EC0359"," 359","Golden West Mine (Potter; Palo Alto)",45.1297,-115.4008,0,450747,1152403,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","214","EC",-115.401608714,45.1295307287,"021N","009E",30,"ALL",3395,83677,"Edwardsburg","NO"
,,,"EC0360","EC0360"," 360","Ludwig Deposit (Laufer and Davis; Davis; Nevitt)",45.12749,-115.40744,3,450739,1152427,"WOLF FANG PEAK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","215","EC",-115.408248869,45.1273206953,"021N","009E",30,"ALL",3396,83677,"Edwardsburg","NO"
,,,"EC0361","EC0361"," 361","Logan Copper Hill Prospect (Red Garnet; Faulkenburg; Logan; Copper Hill; Logan Creek; Billy Mitchell)",45.10056,-115.42833,3,450602,1152542,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","216","EC",-115.429139077,45.1003907147,"020N","008E",1,"ALL",3397,83677,"Edwardsburg","YES"
,,,"EC0362","EC0362"," 362","Dixie Mine (Goldman and McCrea; Goldman)",45.11444,-115.40222,3,450652,1152408,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","217","EC",-115.403028538,45.11427081319999,"021N","009E",31,"NE",3398,83677,"Edwardsburg","YES"
,,,"EC0363","EC0363"," 363","Golden Way Up Mine",45.11221,-115.4231,3,450644,1152523,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","218","EC",-115.423909094,45.1120406792,"021N","008E",36,"ALL",3399,83677,"Edwardsburg","NO"
,,,"EC0364","EC0364"," 364","Placer Lake Prospect",45.1642,-115.3569,0,450951,1152125,"BIG CREEK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","219","EC",-115.357707964,45.1640308274,"021N","009E",16,"ALL",3400,83677,"Edwardsburg","NO"
,,,"EC0365","EC0365"," 365","Lakeside Prospect",45.1522,-115.3661,0,450908,1152158,"BIG CREEK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","220","EC",-115.366908054,45.1520308357,"021N","009E",16,"ALL",3401,83677,"Edwardsburg","NO"
,,,"EC0366","EC0366"," 366","Golden Cup Deposit (Golden Coin Mine)",45.14944,-115.34604,3,450858,1152046,"BIG CREEK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","221","EC",-115.346847449,45.14927099449999,"021N","009E",22,"ALL",3402,83677,"Edwardsburg","YES"
,,,"EC0367","EC0367"," 367","Green Spider Prospect",45.1339,-115.3519,0,450802,1152107,"BIG CREEK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","224","EC",-115.352707395,45.1337310487,"021N","009E",27,"ALL",3403,83677,"Edwardsburg","NO"
,,,"EC0368","EC0368"," 368","Unnamed prospect",45.1333,-115.3692,0,450800,1152209,"BIG CREEK","WARREN ","VALLEY","U.S. Forest Service","Payette NF","223","EC",-115.370007874,45.13313093009999,"021N","009E",28,"ALL",3404,83677,"Edwardsburg","NO"
,,,"EC0369","EC0369"," 369","Sunday Mine (Eagle Group)",45.11601,-115.34366,3,450658,1152037,"EDWARDSBURG","WARREN ","VALLEY","U.S. Forest Service",,"230","EC",-115.34446691,45.1158412176,"021N","009E",34,"SE",3405,83677,"Edwardsburg","YES"
,,,"EC0370","EC0370"," 370","Unnamed mine",45.1156,-115.3575,0,450656,1152127,"EDWARDSBURG","WARREN ","VALLEY","U.S. Forest Service","Payette NF","227","EC",-115.358307295,45.1154311224,"021N","009E",33,"SW",3406,83677,"Edwardsburg","NO"
,,,"EC0371","EC0371"," 371","Camp Bird No. 1",45.1153,-115.3511,0,450655,1152104,"EDWARDSBURG","WARREN ","VALLEY","U.S. Forest Service","Payette NF","228","EC",-115.35190711,45.11513116939999,"021N","009E",34,"SE",3407,83677,"Edwardsburg","NO"
,,,"EC0372","EC0372"," 372","Hunky Dory",45.1147,-115.3831,0,450653,1152259,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","225","EC",-115.383908003,45.1145309469,"021N","009E",32,"NE",3408,83677,"Edwardsburg","NO"
,,,"EC0374","EC0374"," 374","Mitchell-McCalla",45.1117,-115.3511,0,450642,1152104,"EDWARDSBURG","WARREN ","VALLEY","U.S. Forest Service","Payette NF","229","EC",-115.351907059,45.1115311918,"021N","009E",34,"SE",3409,83677,"Edwardsburg","NO"
,,,"EC0375","EC0375"," 375","Unnamed prospect",45.0658,-115.4531,0,450357,1152711,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","237","EC",-115.453909283,45.0656307576,"020N","008E",14,"ALL",3410,83677,"Profile","NO"
,,,"EC0376","EC0376"," 376","Silent Friend Group (Blackfoot Gold Mining and Development Co.)",45.0642,-115.4444,0,450351,1152640,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","236","EC",-115.445209016,45.06403082929999,"020N","008E",14,"ALL",3411,83677,"Profile","NO"
,,,"EC0377","EC0377"," 377","Walnut (Tuscumbia)",45.0586,-115.4506,0,450331,1152702,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","239","EC",-115.451409112,45.0584308208,"020N","008E",23,"ALL",3412,83677,"Profile","NO"
,,,"EC0378","EC0378"," 378","Trigold Prospect",45.0703,-115.4306,0,450413,1152550,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","233","EC",-115.431408714,45.0701308886,"020N","008E",13,"ALL",3413,83677,"Profile","NO"
,,,"EC0379","EC0379"," 379","Abstine and Blevins (Gold Ridge)",45.0669,-115.4231,0,450401,1152523,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","234","EC",-115.423908455,45.0667309631,"020N","008E",13,"ALL",3414,83677,"Profile","NO"
,,,"EC0380","EC0380"," 380","Bullfrog",45.0733,-115.3939,0,450424,1152338,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","231","EC",-115.394707723,45.0731311294,"020N","009E",18,"NE",3415,83677,"Profile","NO"
,,,"EC0381","EC0381"," 381","Unnamed prospect",45.0722,-115.4003,0,450420,1152401,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF",,,-115.401107888,45.072031091,"020N","009E",18,"NE",3416,83677,"Profile","NO"
,,,"EC0382","EC0382"," 382","Unnamed prospect",45.0725,-115.4036,0,450421,1152413,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","232","EC",-115.404407985,45.07233106579999,"020N","009E",18,"NW",3417,83677,"Profile","NO"
,,,"EC0383","EC0383"," 383","Unnamed prospect",45.0678,-115.4006,0,450404,1152402,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF",,,-115.401407835,45.0676311166,"020N","009E",18,"SE",3418,83677,"Profile","NO"
,,,"EC0384","EC0384"," 384","Unnamed prospect",45.0669,-115.4033,0,450401,1152412,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF",,,-115.404107898,45.0667311032,"020N","009E",18,"SW",3419,83677,"Profile","NO"
,,,"EC0385","EC0385"," 385","Ericson, Robertson, and Chambers Claims (Gordon Mills Prospect)",45.0647,-115.4056,0,450353,1152420,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","235","EC",-115.406407932,45.0645311008,"020N","009E",18,"SW",3420,83677,"Profile","NO"
,,,"EC0386","EC0386"," 386","B and B No. 4 Claim (Dundee; Wilson Group)",45.0622,-115.4122,0,450344,1152444,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","242","EC",-115.413008082,45.06203106989999,"020N","009E",19,"NW",3421,83677,"Profile","NO"
,,,"EC0387","EC0387"," 387","Scheelite Occurrence (Babbitt Metal)",45.0594,-115.4125,0,450334,1152445,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","247","EC",-115.413308051,45.0592310855,"020N","009E",19,"NW",3422,83677,"Profile","NO"
,,,"EC0388","EC0388"," 388","Watson Mining Claims (Missouri-Idaho Mining & Smelting Corp.)",45.05479,-115.40864,3,450317,1152431,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","255","EC",-115.409447878,45.05462114199999,"020N","009E",19,"SW",3423,83677,"Profile","YES"
,,,"EC0389","EC0389"," 389","Wallace-Mitchell",45.0578,-115.4147,0,450328,1152453,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","245","EC",-115.41550809,45.05763108009999,"020N","008E",24,"ALL",3424,83677,"Profile","NO"
,,,"EC0390","EC0390"," 390","Wilson Group (Profile Gap; Syringa Group)",45.05417,-115.41613,3,450315,1152458,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","241","EC",-115.41693808,45.05400109289999,"020N","008E",24,"ALL",3425,83677,"Profile","YES"
,,,"EC0391","EC0391"," 391","Glasgow Prospect (Victor-Glasgow; Victor Claims; Probiglo Mining Co.; Profile-Yellow Pine Co.; Profile Gap Deposit)",45.05374,-115.41632,3,450313,1152459,"PROFILE GAP","WARREN ","VALLEY","Private","Payette NF","244","EC",-115.417128079,45.0535710943,"020N","008E",24,"SE",3426,83677,"Profile","YES"
,,,"EC0392","EC0392"," 392","Yellow Jacket",45.0506,-115.4222,0,450302,1152520,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","246","EC",-115.4230082,45.0504310726,"020N","008E",24,"ALL",3427,83677,"Profile","NO"
,,,"EC0393","EC0393"," 393","Unnamed prospect",45.0528,-115.3953,0,450310,1152343,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF",,,-115.396107474,45.0526312489,"020N","009E",19,"SE",3428,83677,"Profile","NO"
,,,"EC0394","EC0394"," 394","Gold Coin Mine (Prospect north of Lotspiech)",45.0503,-115.4053,0,450301,1152419,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF",,,-115.40610772,45.0501311941,"020N","009E",19,"SW",3429,83677,"Profile","NO"
,,,"EC0395","EC0395"," 395","Allison",45.0483,-115.4067,0,450254,1152424,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","249","EC",-115.407507732,45.04813119689999,"020N","009E",30,"NW",3430,83677,"Profile","NO"
,,,"EC0396","EC0396"," 396","Coin Mtn. Prospect",45.0472,-115.3928,0,450250,1152334,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF",,,-115.393607325,45.0470313021,"020N","009E",30,"NE",3431,83677,"Profile","NO"
,,,"EC0397","EC0397"," 397","Black Metal (Lotspiech)",45.04138,-115.40288,3,450229,1152410,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","251","EC",-115.403687527,45.0412112679,"020N","009E",30,"SE",3432,83677,"Profile","NO"
,,,"EC0398","EC0398"," 398","Red Metal Mine (Ellison; Red Metals Mine)",45.04331,-115.41973,3,450236,1152511,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","250","EC",-115.420538028,45.0431411364,"020N","008E",25,"ALL",3433,83677,"Profile","YES"
,,,"EC0399","EC0399"," 399","Combination Prospect",45.03663,-115.41498,3,450212,1152454,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service",,"252","EC",-115.4157878,45.03646121249999,"020N","008E",25,"ALL",3434,83677,"Profile","YES"
,,,"EC0400","EC0400"," 400","Central Galena Group (Ryan Creek Group; Galena Central Claims)",45.02861,-115.37889,3,450143,1152244,"PROFILE GAP","WARREN ","VALLEY","U.S. Forest Service","Payette NF","253","EC",-115.379696673,45.02844151879999,"020N","009E",32,"NE",3435,83677,"Edwardsburg","YES"
,,,"EC0401","EC0401"," 401","Grunter Mine (Shoup)",45.37374,-114.28879,3,452225,1141720,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","256","EC",-114.289570571,45.3735770334,"024N","018E",36,"ALL",3436,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0402","EC0402"," 402","Lost Miner Deposit",45.37306,-114.29056,3,452223,1141726,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service",,"257","EC",-114.291340612,45.37289702499999,"024N","018E",36,"ALL",3437,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0403","EC0403"," 403","Margaret Mine (Brittannic Mining Co.)",45.37084,-114.29423,3,452215,1141739,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","Private",,"258","EC",-114.295010686,45.3706770123,"024N","018E",36,"ALL",3438,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0404","EC0404"," 404","Clipper Bullion Mine",45.36866,-114.27633,3,452207,1141635,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","261","EC",-114.277110145,45.36849714669999,"024N","019E",31,"ALL",3439,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0405","EC0405"," 405","Speculation Mine (Brittannic Mining Co.)",45.36961,-114.29746,3,452211,1141751,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","Private",,"259","EC",-114.298240761,45.3694469971,"024N","018E",36,"ALL",3440,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0406","EC0406"," 406","Brittanic Mine (Brittannic Mining Co.)",45.36806,-114.29556,3,452205,1141744,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","260","EC",-114.296340686,45.3678970187,"024N","018E",36,"ALL",3441,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0407","EC0407"," 407","Kentuck Mine",45.37191,-114.29649,3,452219,1141747,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","Private",,"263","EC",-114.297270765,45.37174699089999,"024N","018E",36,"ALL",3442,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0408","EC0408"," 408","Boulder",45.3653,-114.3031,0,452155,1141811,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","264","EC",-114.303880863,45.3651369825,"024N","018E",35,"ALL",3443,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0409","EC0409"," 409","Hempstead Claims",45.3639,-114.3094,0,452150,1141834,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","262","EC",-114.310181024,45.3637369473,"024N","018E",35,"ALL",3444,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0410","EC0410"," 410","Gold Hill Mine (Kentuck and Speculation)",45.37053,-114.28976,3,452214,1141723,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","Private",,"272","EC",-114.290540554,45.37036704459999,"024N","018E",36,"ALL",3445,83469,"Mineral Hill (Lemhi County)","YES"
,,,"EC0411","EC0411"," 411","Billy Boy",45.3622,-114.3061,0,452144,1141822,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF",,,-114.306880906,45.36203697929999,"024N","018E",35,"ALL",3446,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0412","EC0412"," 412","Hegstead Prospects",45.3658,-114.2914,0,452157,1141729,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","1222","EC",-114.292180536,45.3656370597,"024N","018E",36,"ALL",3447,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0413","EC0413"," 413","Grubstake No. 1 Claim (Clean Gold)",45.3628,-114.2942,0,452146,1141739,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service",,"265","EC",-114.294980575,45.3626370573,"024N","018E",36,"ALL",3448,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0414","EC0414"," 414","Grubstake No. 2 Claim (Continental; Fereaco)",45.3606,-114.2897,0,452138,1141723,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","266","EC",-114.290480416,45.3604371004,"024N","018E",36,"ALL",3449,83469,"Mineral Hill (Lemhi County)","NO"
,,,"EC0415","EC0415"," 415","Pine Creek Property",45.35676,-114.28122,3,452124,1141652,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","267","EC",-114.282000121,45.3565971798,"023N","019E",6,"ALL",3450,83469,"Mackinaw","YES"
,,,"EC0416","EC0416"," 416","Big Lead Mine (Langal)",45.35476,-114.27571,3,452117,1141633,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","268","EC",-114.276489936,45.3545972286,"023N","019E",6,"ALL",3451,83469,"Mackinaw","NO"
,,,"EC0417","EC0417"," 417","Ready Cash Deposit",45.3528,-114.2872,0,452110,1141714,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","269","EC",-114.287980237,45.3526371611,"023N","018E",1,"ALL",3452,83469,"Mackinaw","NO"
,,,"EC0418","EC0418"," 418","Wall Street Deposit",45.3481,-114.2822,0,452053,1141656,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","270","EC",-114.28298003,45.3479372216,"023N","018E",1,"ALL",3453,83469,"Mackinaw","NO"
,,,"EC0419","EC0419"," 419","Lower Pine Creek Placer",45.345,-114.2686,0,452042,1141607,"PINE CREEK RAPIDS","BIGHORN PASS ","LEMHI","U.S. Forest Service",,"271","EC",-114.269379599,45.34483733179999,"023N","019E",7,"ALL",3454,83469,"Mackinaw","NO"
,,,"EC0420","EC0420"," 420","Dusty Claims (Nickel Point)",45.1417,-114.3314,0,450830,1141953,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","275","EC",-114.33217861,45.1415380873,"021N","018E",22,"ALL",3455,83469,"Blackbird","NO"
,,,"EC0421","EC0421"," 421","Anaconda Claim (Blackbird Mine)",45.1406,-114.3356,0,450826,1142008,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","274","EC",-114.336378714,45.1404380653,"021N","018E",22,"ALL",3456,83469,"Blackbird","NO"
,,,"EC0422","EC0422"," 422","Dewey Claims (Blackbird Mine)",45.1386,-114.3256,0,450819,1141932,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","276","EC",-114.326378403,45.1384381455,"021N","018E",22,"ALL",3457,83469,"Blackbird","NO"
,,,"EC0423","EC0423"," 423","Tom Jefferson Claims",45.1325,-114.3431,0,450757,1142035,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","290","EC",-114.343878817,45.13233806309999,"021N","018E",21,"ALL",3458,83469,"Blackbird","NO"
,,,"EC0424","EC0424"," 424","Sunshine Claims (Blackbird Mine)",45.13194,-114.37,3,450755,1142212,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","273","EC",-114.370779574,45.1317778829,"021N","018E",20,"ALL",3459,83469,"Blackbird","YES"
,,,"EC0425","EC0425"," 425","Brown Bear Mine (Blackbird Mine)",45.1306,-114.3544,0,450750,1142116,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","Private",,"279","EC",-114.355179113,45.1304379975,"021N","018E",21,"ALL",3460,83469,"Blackbird","NO"
,,,"EC0426","EC0426"," 426","Calera Mine (Blackbird Mine)",45.1289,-114.3533,0,450744,1142112,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","Private",,"280","EC",-114.354079058,45.12873801529999,"021N","018E",21,"ALL",3461,83469,"Blackbird","NO"
,,,"EC0427","EC0427"," 427","Katherine Prospect (Blackbird Mine; Catherine)",45.1278,-114.3667,0,450740,1142200,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","277","EC",-114.367479424,45.12763793049999,"021N","018E",29,"ALL",3462,83469,"Blackbird","NO"
,,,"EC0428","EC0428"," 428","Chicago Mine (Blackbird Mine)",45.1275,-114.3522,0,450739,1142108,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","Private",,"281","EC",-114.352979008,45.1273380313,"021N","018E",28,"ALL",3463,83469,"Blackbird","NO"
,,,"EC0429","EC0429"," 429","Indian Adit",45.1275,-114.3375,0,450739,1142015,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","Private",,"291","EC",-114.33827859,45.1273381315,"021N","018E",27,"ALL",3464,83469,"Blackbird","NO"
,,,"EC0430","EC0430"," 430","Merle Zone (Blackbird Mine)",45.1253,-114.3353,0,450731,1142007,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service",,"293","EC",-114.336078498,45.1251381598,"021N","018E",27,"ALL",3465,83469,"Blackbird","NO"
,,,"EC0431","EC0431"," 431","High Five Prospect",45.125,-114.3386,0,450730,1142019,"BLACKBIRD CREEK","BIGHORN PASS ","LEMHI","Private",,"292","EC",-114.339378587,45.12483813919999,"021N","018E",27,"ALL",3466,83469,"Blackbird","NO"
,,,"EC0432","EC0432"," 432","Howe Sound Adit Mine (Blackbird Mine)",45.1247,-114.35,0,450729,1142100,"BLACKBIRD CREEK","BIGHORN PASS ","LEMHI","Private",,"286","EC",-114.350778907,45.12453806329999,"021N","018E",28,"ALL",3467,83469,"Blackbird","NO"
,,,"EC0433","EC0433"," 433","Blackbird Mine (Blacktail; Idaho; Horseshoe; Brown Bear; Chicago; Dandy; Calera Mining Co.)",45.12333,-114.34722,3,450724,1142050,"BLACKBIRD CREEK","BIGHORN PASS ","LEMHI","Private",,"283","EC",-114.34799881,45.12316809049999,"021N","018E",28,"ALL",3468,83469,"Blackbird","YES"
,,,"EC0434","EC0434"," 434","Bryan-Columbus Claims (Bryan Claim)",45.1228,-114.3511,0,450722,1142104,"BLACKBIRD CREEK","BIGHORN PASS ","LEMHI","U.S. Forest Service",,"282","EC",-114.351878913,45.1226380673,"021N","018E",28,"ALL",3469,83469,"Blackbird","NO"
,,,"EC0435","EC0435"," 435","Ella Prospect (Blackbird Mine)",45.1214,-114.3614,0,450717,1142141,"BLACKBIRD CREEK","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","278","EC",-114.362179186,45.1212380055,"021N","018E",29,"ALL",3470,83469,"Blackbird","NO"
,,,"EC0436","EC0436"," 436","St. Joe Prospect (Blackbird Mine)",45.1208,-114.3497,0,450715,1142059,"BLACKBIRD CREEK","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","284","EC",-114.350478846,45.120638089,"021N","018E",28,"ALL",3471,83469,"Blackbird","NO"
,,,"EC0437","EC0437"," 437","Northfield Prospect (Stevenson; Merle 3 and 4)",45.12639,-114.30111,3,450735,1141804,"GANT MOUNTAIN","BIGHORN PASS ","LEMHI","U.S. Forest Service","Salmon NF","294","EC",-114.30188754,45.1262283862,"021N","018E",26,"ALL",3472,83469,"Blackbird","YES"
