"SequenceNumber","Ref_id","PageNumbers","Reference","NotesForReferenceUpdate2015"
"HA0491",767,,"No reference.",
"HA0492",767,,"No reference.",
"HA0493",475,,"Hansen, 1965, 64th Ann. Rept. of Mining Ind. of Idaho for 1963-1964.",
"HA0494",1034,,"USBM, n.d., USBM files.",
"HA0495",1034,,"USBM, n.d., USBM files.",
"HA0496",29,,"Anderson, 1947, USGS B-944-C.",
"HA0497",1016,,"USBM, 1975, Activities of Idaho Mining Properties, 1974.",
"HA0498",1034,,"USBM, n.d., USBM files.",
"HA0499",1034,,"USBM, n.d., USBM files.",
"HA0500",1034,,"USBM, n.d., USBM files.",
"HA0501",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0502",1034,,"USBM, n.d., USBM files.",
"HA0503",1034,,"USBM, n.d., USBM files.",
"HA0504",1034,,"USBM, n.d., USBM files.",
"HA0505",1034,,"USBM, n.d., USBM files.",
"HA0506",1034,,"USBM, n.d., USBM files.",
"HA0507",635,,"McDowell, 1955, 56th Ann. Rept. of Mining Ind. of Idaho for 1954.",
"HA0508",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0509",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0510",1034,,"USBM, n.d., USBM files.",
"HA0511",767,,"No reference.",
"HA0512",29,,"Anderson, 1947, USGS B-944-C.",
"HA0513",29,,"Anderson, 1947, USGS B-944-C.",
"HA0514",29,,"Anderson, 1947, USGS B-944-C.",
"HA0515",767,,"No reference.",
"HA0516",29,,"Anderson, 1947, USGS B-944-C.",
"HA0517",29,,"Anderson, 1947, USGS B-944-C.",
"HA0518",1034,,"USBM, n.d., USBM files.",
"HA0519",1136,,"USBM, n.d., WFOC MPF-30.320.",
"HA0520",1270,,"USBM, n.d., WFOC MPF-55.500.",
"HA0521",29,,"Anderson, 1947, USGS B-944-C.",
"HA0522",1034,,"USBM, n.d., USBM files.",
"HA0523",1034,,"USBM, n.d., USBM files.",
"HA0524",1034,,"USBM, n.d., USBM files.",
"HA0525",658,,"Metzger, 1938, USBM IC-7028.",
"HA0526",1034,,"USBM, n.d., USBM files.",
"HA0527",1034,,"USBM, n.d., USBM files.",
"HA0528",1034,,"USBM, n.d., USBM files.",
"HA0529",1034,,"USBM, n.d., USBM files.",
"HA0530",658,,"Metzger, 1938, USBM IC-7028.",
"HA0531",1034,,"USBM, n.d., USBM files.",
"HA0532",120,,"Campbell, 1937, 38th Ann. Rept. of Mining Ind. of Idaho for 1936.",
"HA0533",1034,,"USBM, n.d., USBM files.",
"HA0534",1034,,"USBM, n.d., USBM files.",
"HA0535",658,,"Metzger, 1938, USBM IC-7028.",
"HA0536",1034,,"USBM, n.d., USBM files.",
"HA0537",1034,,"USBM, n.d., USBM files.",
"HA0538",1034,,"USBM, n.d., USBM files.",
"HA0539",572,,"Kline, 1950, U.S. Atomic Energy Comm. Rept. RME-3129.",
"HA0540",767,,"No reference.",
"HA0541",767,,"No reference.",
"HA0542",1538,,"USGS, Idaho City 7.5-min. quad. topo. map.",
"HA0543",1034,,"USBM, n.d., USBM files.",
"HA0544",1538,,"USGS, Idaho City 7.5-min. quad. topo. map.",
"HA0545",1034,,"USBM, n.d., USBM files.",
"HA0546",1538,,"USGS, Idaho City 7.5-min. quad. topo. map.",
"HA0547",1034,,"USBM, n.d., USBM files.",
"HA0548",107,,"Campbell, 1922, 23rd Ann. Rept. of Mining Ind. of Idaho for 1921.",
"HA0549",767,,"No reference.",
"HA0550",29,,"Anderson, 1947, USGS B-944-C.",
"HA0551",767,,"No reference.",
"HA0552",29,,"Anderson, 1947, USGS B-944-C.",
"HA0553",29,,"Anderson, 1947, USGS B-944-C.",
"HA0554",767,,"No reference.",
"HA0555",1034,,"USBM, n.d., USBM files.",
"HA0556",1034,,"USBM, n.d., USBM files.",
"HA0557",1034,,"USBM, n.d., USBM files.",
"HA0558",1034,,"USBM, n.d., USBM files.",
"HA0559",1034,,"USBM, n.d., USBM files.",
"HA0560",51,,"Ballard, 1924, IBMG B-9.",
"HA0561",476,,"Hansen, 1966, 65th Ann. Rept. of Mining Ind. of Idaho for 1965.",
"HA0562",29,,"Anderson, 1947, USGS B-944-C.",
"HA0563",29,,"Anderson, 1947, USGS B-944-C.",
"HA0564",1034,,"USBM, n.d., USBM files.",
"HA0565",29,,"Anderson, 1947, USGS B-944-C.",
"HA0566",29,,"Anderson, 1947, USGS B-944-C.",
"HA0567",1034,,"USBM, n.d., USBM files.",
"HA0568",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"HA0569",1034,,"USBM, n.d., USBM files.",
"HA0570",1034,,"USBM, n.d., USBM files.",
"HA0571",1651,,"USGS, Warm Springs Point 7.5-min. quad. topo. map.",
"HA0572",1034,,"USBM, n.d., USBM files.",
"HA0573",119,,"Campbell, 1936, 37th Ann. Rept. of Mining Ind. of Idaho for 1935.",
"HA0574",1034,,"USBM, n.d., USBM files.",
"HA0575",1034,,"USBM, n.d., USBM files.",
"HA0576",1034,,"USBM, n.d., USBM files.",
"HA0577",1034,,"USBM, n.d., USBM files.",
"HA0578",1034,,"USBM, n.d., USBM files.",
"HA0579",1034,,"USBM, n.d., USBM files.",
"HA0580",1034,,"USBM, n.d., USBM files.",
"HA0581",1034,,"USBM, n.d., USBM files.",
"HA0582",108,,"Campbell, 1923, 24th Ann. Rept. of Mining Ind. of Idaho for 1922.",
"HA0583",767,,"No reference.",
"HA0584",1034,,"USBM, n.d., USBM files.",
"HA0585",658,,"Metzger, 1938, USBM IC-7028.",
"HA0586",1034,,"USBM, n.d., USBM files.",
"HA0587",1504,,"USGS, Dunnigan Creek 7.5-min. quad. topo. map.",
"HA0588",1034,,"USBM, n.d., USBM files.",
"HA0589",108,,"Campbell, 1923, 24th Ann. Rept. of Mining Ind. of Idaho for 1922.",
"HA0590",926,,"Simons, 1935, 36th Ann. Rept. of Mining Ind. of Idaho for 1934.",
"HA0591",1034,,"USBM, n.d., USBM files.",
"HA0592",29,,"Anderson, 1947, USGS B-944-C.",
"HA0593",1076,,"USBM, n.d., WFOC MPF-19.100.",
"HA0594",1635,,"USGS, Sunset Mtn. 7.5-min. quad. topo. map.",
"HA0595",1034,,"USBM, n.d., USBM files.",
"HA0596",1034,,"USBM, n.d., USBM files.",
"HA0597",116,,"Campbell, 1931, 32nd Ann. Rept. of Mining Ind. of Idaho for 1930.",
"HA0598",1416,,"USGS, 1951, Spokane Commodity Files.",
"HA0599",1034,,"USBM, n.d., USBM files.",
"HA0600",1034,,"USBM, n.d., USBM files.",
"HA0601",118,,"Campbell, 1933, 34th Ann. Rept. of Mining Ind. of Idaho for 1932.",
"HA0602",1034,,"USBM, n.d., USBM files.",
"HA0603",963,,"Storch and Robertson, 1955, US Atomic Energy Comm. Rept. RMO-1544.",
"HA0604",1449,,"USGS, Barber Flat 7.5-min. quad. topo. map.",
"HA0605",114,,"Campbell, 1929, 30th Ann. Rept. of Mining Ind. of Idaho for 1928.",
"HA0606",1284,,"USBM, n.d., WFOC MPF-71.021.",
"HA0607",1324,,"USBM, n.d., WFOC MPF-99.999.",
"HA0608",115,,"Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",
"HA0609",1619,,"USGS, Sheep Creek 7.5-min. quad. topo. map.",
"HA0610",1034,,"USBM, n.d., USBM files.",
"HA0611",1412,,"USGS, 1940, Spokane Commodity Files.",
"HA0612",121,,"Campbell, 1938, 39th Ann. Rept. of Mining Ind. of Idaho for 1937.",
"HA0613",1644,,"USGS, Twin Springs 7.5-min. quad. topo. map.",
"HA0614",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0615",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0616",833,,"Pattee and others, 1968, USBM RI-7148.",
"HA0617",1034,,"USBM, n.d., USBM files.",
"HA0618",1034,,"USBM, n.d., USBM files.",
"HA0619",1034,,"USBM, n.d., USBM files.",
"HA0620",1034,,"USBM, n.d., USBM files.",
"HA0621",925,,"Simons, 1934, 35th Ann. Rept. of Mining Ind. of Idaho for 1933.",
"HA0622",1034,,"USBM, n.d., USBM files.",
"HA0623",1034,,"USBM, n.d., USBM files.",
"HA0624",125,,"Campbell, 1942, 43rd Ann. Rept. of Mining Ind. of Idaho for 1941.",
"HA0625",1034,,"USBM, n.d., USBM files.",
"HA0626",1034,,"USBM, n.d., USBM files.",
"HA0627",1034,,"USBM, n.d., USBM files.",
"HA0628",1080,,"USBM, n.d., WFOC MPF-19.900.",
"HA0629",1560,,"USGS, Long Gulch 7.5-min. quad. topo. map.",
"HA0630",1034,,"USBM, n.d., USBM files.",
"HA0631",1034,,"USBM, n.d., USBM files.",
"HA0632",1034,,"USBM, n.d., USBM files.",
"HA0633",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0634",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0635",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0636",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0637",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0638",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"HA0639",122,,"Campbell, 1939, 40th Ann. Rept. of Mining Ind. of Idaho for 1938.",
"HA0640",1034,,"USBM, n.d., USBM files.",
"HA0641",630,,"McDowell, 1950, 51st Ann. Rept. of Mining Ind. of Idaho for 1949.",
"HA0642",1034,,"USBM, n.d., USBM files.",
"HA0643",108,,"Campbell, 1923, 24th Ann. Rept. of Mining Ind. of Idaho for 1922.",
"HA0644",1283,,"USBM, n.d., WFOC MPF-71.020.",
"HA0645",46,,"Asher, 1965, IBMG P-135.",
"HA0646",45,"104-111","Asher, 1964, in IBMG SR-1.",
"HA0647",737,,"MSHA, 1980, MSHA ID No. 10 01504.",
"HA0648",45,"104-111","Asher, 1964, in IBMG SR-1.",
"HA0649",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0650",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0651",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0652",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0653",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0654",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0655",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0656",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0657",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0658",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0659",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0660",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0661",553,,"Kiilsgaard and others, 1983, USGS Map MF-1500-C.",
"HA0662",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"HA0663",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0664",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"HA0665",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0666",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0667",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0668",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0669",52,,"Ballard, 1928, IBMG P-26.",
"HA0670",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0671",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0672",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0673",52,,"Ballard, 1928, IBMG P-26.",
"HA0674",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0675",52,,"Ballard, 1928, IBMG P-26.",
"HA0676",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0677",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0678",52,,"Ballard, 1928, IBMG P-26.",
"HA0679",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0680",52,,"Ballard, 1928, IBMG P-26.",
"HA0681",1034,,"USBM, n.d., USBM files.",
"HA0682",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0683",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0684",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0685",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0686",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0687",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0688",59,,"Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",
"HA0689",436,,"Gabby, 1992, USBM OFR MLA 3-92.",
"HA0690",1034,,"USBM, n.d., USBM files.",
"HA0691",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0692",1034,,"USBM, n.d., USBM files.",
"HA0693",22,,"Anderson, 1939, IBMG P-49.",
"HA0694",1034,,"USBM, n.d., USBM files.",
"HA0695",1034,,"USBM, n.d., USBM files.",
"HA0696",1034,,"USBM, n.d., USBM files.",
"HA0697",1034,,"USBM, n.d., USBM files.",
"HA0698",1034,,"USBM, n.d., USBM files.",
"HA0699",1034,,"USBM, n.d., USBM files.",
"HA0700",52,,"Ballard, 1928, IBMG P-26.",
"HA0701",1034,,"USBM, n.d., USBM files.",
"HA0702",1034,,"USBM, n.d., USBM files.",
"HA0703",1034,,"USBM, n.d., USBM files.",
"HA0704",465,,"Green, 1968, IGS Mineral Property Files.",
"HA0705",433,,"Fryklund, 1951, IBMG P-91.",
"HA0706",844,,"Popoff, 1953, USBM RI-4950.",
"HA0707",560,,"Kiilsgaard, 1953, USBM WFOC MPF-03.140.",
"HA0708",844,,"Popoff, 1953, USBM RI-4950.",
"HA0709",844,,"Popoff, 1953, USBM RI-4950.",
"HA0710",844,,"Popoff, 1953, USBM RI-4950.",
"HA0711",1063,,"USBM, n.d., WFOC MPF-03.900.",
"HA0712",52,,"Ballard, 1928, IBMG P-26.",
"HA0713",117,,"Campbell, 1932, 33rd Ann. Rept. of Mining Ind. of Idaho for 1931.",
"HA0714",1271,,"USBM, n.d., WFOC MPF-55.900.",
"HA0715",1034,,"USBM, n.d., USBM files.",
"HA0716",1034,,"USBM, n.d., USBM files.",
"HA0717",1034,,"USBM, n.d., USBM files.",
"HA0718",1034,,"USBM, n.d., USBM files.",
"HA0719",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0720",636,,"McDowell, 1956, 57th Ann. Rept. of Mining Ind. of Idaho for 1955.",
"HA0721",1273,,"USBM, n.d., WFOC MPF-64.120.",
"HA0722",1475,,"USGS, Cayuse Point 7.5-min. quad. topo. map.",
"HA0723",1034,,"USBM, n.d., USBM files.",
"HA0724",41,,"Armstrong, 1957, USGS B-1042-K.",
"HA0725",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0726",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0727",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0728",908,,"Schrader, 1924, USGS B-750-F.",
"HA0729",908,,"Schrader, 1924, USGS B-750-F.",
"HA0730",908,,"Schrader, 1924, USGS B-750-F.",
"HA0731",833,,"Pattee and others, 1968, USBM RI-7148.",
"HA0732",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0733",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0734",1668,,"Wagner, 1939, Univ. of Idaho M.S. thesis.",
"HA0735",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0736",1034,,"USBM, n.d., USBM files.",
"HA0737",52,,"Ballard, 1928, IBMG P-26.",
"HA0738",1512,,"USGS, Featherville 7.5-min. quad. topo. map.",
"HA0739",1034,,"USBM, n.d., USBM files.",
"HA0740",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0741",1034,,"USBM, n.d., USBM files.",
"HA0742",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0743",44,,"Asher, 1964, IGS Mineral Property Files.",
"HA0744",1034,,"USBM, n.d., USBM files.",
"HA0745",71,,"Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.",
"HA0746",1034,,"USBM, n.d., USBM files.",
"HA0747",52,,"Ballard, 1928, IBMG P-26.",
"HA0748",631,,"McDowell, 1951, 52nd Ann. Rept. of Mining Ind. of Idaho for 1950.",
"HA0749",52,,"Ballard, 1928, IBMG P-26.",
"HA0750",67,,"Bell, 1920, 21st Ann. Rept. of Mining Ind. of Idaho for 1919.",
"HA0751",1596,,"USGS, Pine 7.5-min. quad. topo. map.",
"HA0752",1596,,"USGS, Pine 7.5-min. quad. topo. map.",
"HA0753",1596,,"USGS, Pine 7.5-min. quad. topo. map.",
"HA0754",52,,"Ballard, 1928, IBMG P-26.",
"HA0755",1034,,"USBM, n.d., USBM files.",
"HA0756",514,,"Jacob, 1985, Univ. of Idaho M.S. thesis.",
"HA0757",514,,"Jacob, 1985, Univ. of Idaho M.S. thesis.",
"HA0758",514,,"Jacob, 1985, Univ. of Idaho M.S. thesis.",
"HA0759",1474,,"USGS, Cat Creek Summit 7.5-min. quad. topo. map.",
"HA0760",107,,"Campbell, 1922, 23rd Ann. Rept. of Mining Ind. of Idaho for 1921.",
"HA0761",1474,,"USGS, Cat Creek Summit 7.5-min. quad. topo. map.",
"HA0762",636,,"McDowell, 1956, 57th Ann. Rept. of Mining Ind. of Idaho for 1955.",
"HA0763",1474,,"USGS, Cat Creek Summit 7.5-min. quad. topo. map.",
"HA0764",1628,,"USGS, Sprout Mtn. 7.5-min. quad. topo. map.",
"HA0765",1628,,"USGS, Sprout Mtn. 7.5-min. quad. topo. map.",
"HA0766",1474,,"USGS, Cat Creek Summit 7.5-min. quad. topo. map.",
"HA0767",1307,,"USBM, n.d., WFOC MPF-74.600.",
"HA0768",170,,"DeLong, 1986, Univ. of Idaho M.S. thesis.",
"HA0769",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0770",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0771",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0772",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0773",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0774",7,"815-821","Allen, 1952, Econ. Geo., v. 47, no. 8.",
"HA0775",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0776",6,,"Allen, 1940, Univ. of Idaho M.S. thesis.",
"HA0777",1454,,"USGS, Bennett Mtn. 15-min. quad. topo. map.",
"HA0778",1190,,"USBM, n.d., WFOC MPF-37.160.",
"HA0779",1681,,"Williams, 1964, in IBMG SR-1.",
"HA0780",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"HA0781",1034,,"USBM, n.d., USBM files.",
"HA0782",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0783",833,,"Pattee and others, 1968, USBM RI-7148.",
"HA0784",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0785",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0786",833,,"Pattee and others, 1968, USBM RI-7148.",
"HA0787",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0788",1071,,"USBM, n.d., WFOC MPF-08.200.",
"HA0789",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0790",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0791",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0792",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0793",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0794",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0795",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0796",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0797",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0798",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0799",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0800",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0801",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0802",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0803",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0804",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0805",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0806",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0807",767,,"No reference.",
"HA0808",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0809",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0810",767,,"No reference.",
"HA0811",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0812",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0813",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0814",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0815",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0816",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0817",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0818",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0819",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0820",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0821",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0822",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0823",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0824",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0825",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0826",1626,,"USGS, Snowyside Peak 7.5-min. quad. topo. map.",
"HA0827",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0828",50,,"Ballard, 1922, IBMG B-5.",
"HA0829",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0830",50,,"Ballard, 1922, IBMG B-5.",
"HA0831",1132,,"USBM, n.d., WFOC MPF-30.087.",
"HA0832",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0833",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0834",911,,"Shannon, 1971, IBMG P-146.",
"HA0835",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0836",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0837",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0838",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0839",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0840",464,,"Green, 1967, IGS Mineral Property Files.",
"HA0841",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0842",50,,"Ballard, 1922, IBMG B-5.",
"HA0843",50,,"Ballard, 1922, IBMG B-5.",
"HA0844",911,,"Shannon, 1971, IBMG P-146.",
"HA0845",911,,"Shannon, 1971, IBMG P-146.",
"HA0846",50,,"Ballard, 1922, IBMG B-5.",
"HA0847",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0848",50,,"Ballard, 1922, IBMG B-5.",
"HA0849",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0850",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0851",911,,"Shannon, 1971, IBMG P-146.",
"HA0852",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0853",464,,"Green, 1967, IGS Mineral Property Files.",
"HA0854",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0855",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0856",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0857",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0858",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0859",1416,,"USGS, 1951, Spokane Commodity Files.",
"HA0860",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0861",424,,"Federspiel and others, 1992, USBM OFR MLA 4-92.",
"HA0862",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0863",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0864",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0865",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"HA0866",1184,,"USBM, n.d., WFOC MPF-37.148.",
"HA0867",911,,"Shannon, 1971, IBMG P-146.",
"HA0868",911,,"Shannon, 1971, IBMG P-146.",
"HA0869",1034,,"USBM, n.d., USBM files.",
"HA0870",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0871",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0872",911,,"Shannon, 1971, IBMG P-146.",
"HA0873",1016,,"USBM, 1975, Activities of Idaho Mining Properties, 1974.",
"HA0874",911,,"Shannon, 1971, IBMG P-146.",
"HA0875",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0876",911,,"Shannon, 1971, IBMG P-146.",
"HA0877",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0878",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0879",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0880",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0881",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0882",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0883",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0884",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0885",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0886",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0887",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0888",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0889",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"HA0890",635,,"McDowell, 1955, 56th Ann. Rept. of Mining Ind. of Idaho for 1954.",
"HA0891",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0892",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0893",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0894",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0895",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0896",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0897",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0898",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0899",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
"HA0900",1203,,"USBM, n.d., WFOC MPF-37.250.",
"HA0901",423,,"Federspiel and others, 1987, USBM OFR MLA 64-87.",
