"Reference_ID","Title","YearDate","In","SecondTitle","SecondTitleDate","abstract","Publisher","nd","publisherAbbv","pubCity","pubState","volume","number","edition","Institution","Series_Type","PubNumber","PageCount","PlateCount","SheetCount","Scale","Pages","Hyperlink","YearHyperlink","Anno","EnterDate","EditDate","Initials","Notes","OldReference","Pub_ID","Origin","URL_INTRA","Folder","FileName","URL","URL_Year"
204,"DMA-1936X:  Blue Kitten Mines","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1936X",,,,,,,,"DMA-1936X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1936_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1936X",,,,,,,
205,"DMA-1959X:  Hoodo Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-1959X",,,,,,,,"DMA-1959X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1959_DMA.pdf",2015,,,,,,"Defense Mineral Administration-1959X",,,,,,,
206,"DMA-211X:  Snoose Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-211X",,,,,,,,"DMA-211X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0211_DMA.pdf",2015,,,,,,"Defense Mineral Administration-211X",,,,,,,
207,"DMA-255X:  Whitedelf Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-255X",,,,,,,,"DMA-255X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0255_DMA.pdf",2015,,,,,,"Defense Mineral Administration-255X",,,,,,,
208,"DMA-317X:  Shamrock Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-317X",,,,,,,,"DMA-317X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0317_DMA.pdf",2015,,,,,,"Defense Mineral Administration-317X",,,,,,,
209,"DMA-32X:  Warm Springs","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-32X",,,,,,,,"DMA-32X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0032_DMA.pdf",2015,,,,,,"Defense Mineral Administration-32X",,,,,,,
210,"DMA-37X: Pearl, ID","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-37X",,,,,,,,"DMA-37X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0037_DMA.pdf",2015,,,,,,"Defense Mineral Administration-37X",,,,,,,
211,"DMA-390X:  Highland-Surprise","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-390X",,,,,,,,"DMA-390X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0390_DMA.pdf",2015,,,,,,"Defense Mineral Administration-390X",,,,,,,
212,"DMA-391X:  Paymaster Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-391X",,,,,,,,"DMA-391X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0391_DMA.pdf",2015,,,,,,"Defense Mineral Administration-391X",,,,,,,
213,"DMA-394X: Teddy Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-394X",,,,,,,,"DMA-394X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0394_DMA.pdf",2015,,,,,,"Defense Mineral Administration-394X",,,,,,,
214,"DMA-421X:  Idaho Birthday Mines","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-421X",,,,,,,,"DMA-421X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0421_DMA.pdf",2015,,,,,,"Defense Mineral Administration-421X",,,,,,,
215,"DMA-463X:  Gilmore","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-463X",,,,,,,,"DMA-463X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0463_DMA.pdf",2015,,,,,,"Defense Mineral Administration-463X",,,,,,,
216,"DMA-506X:  Hermanda Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-506X",,,,,,,,"DMA-506X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0506_DMA.pdf",2015,,,,,,"Defense Mineral Administration-506X",,,,,,,
217,"DMA-519X:  Open Question Claim","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-519X",,,,,,,,"DMA-519X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0519_DMA.pdf",2015,,,,,,"Defense Mineral Administration-519X",,,,,,,
218,"DMA-81:  Lake Creek Zinc","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-81",,,,,,,,"DMA-81",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0081_DMA.pdf",2015,,,,,,"Defense Mineral Administration-81",,,,,,,
219,"DMA-817X:  Pony Gulch Tungsten Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMA-817X",,,,,,,,"DMA-817X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0817_DMA.pdf",2015,,,,,,"Defense Mineral Administration-817X",,,,,,,
220,"DMEA-106:  National, Copper King, and Missoula","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-106",,,,,,,,"DMEA-106",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/0106_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-106",,,,,,,
221,"DMEA-1133X:  Big Elk Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1133X",,,,,,,,"DMEA-1133X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1133_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1133X",,,,,,,
222,"DMEA-1215:  Clarinda","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1215",,,,,,,,"DMEA-1215",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1215_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1215",,,,,,,
223,"DMEA-1238:  Hope Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1238",,,,,,,,"DMEA-1238",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1238_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1238",,,,,,,
224,"DMEA-1240X:  Driessel Antimony Prospect","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1240X",,,,,,,,"DMEA-1240X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1240_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1240X",,,,,,,
225,"DMEA-1284:  Yellow Pine Mine & Meadow Creek Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1284",,,,,,,,"DMEA-1284",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1284_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1284",,,,,,,
226,"DMEA-1285X:  Ima Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1285X",,,,,,,,"DMEA-1285X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1285_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1285X",,,,,,,
227,"DMEA-1426:  Roosevelt Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1426",,,,,,,,"DMEA-1426",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1426_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1426",,,,,,,
228,"DMEA-1468:  Silver Streak Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1468",,,,,,,,"DMEA-1468",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1468_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1468",,,,,,,
229,"DMEA-1499:  Chief Joseph Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1499",,,,,,,,"DMEA-1499",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1499_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1499",,,,,,,
230,"DMEA-1505X:  Black Prince & Homestake Claims",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1505X",,,,,,,,"DMEA-1505X",,,,,,"http://minerals.usgs.gov/dockets/id.htm",2015,,,,,"Unable to verify (link to Black Prince & Homestake Claims broken 2015)","Defense Mineral Exploration Administration-1505X",,,,,,,
231,"DMEA-1595:  Coeur'd Alene & Pine Creek Antimony",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1595",,,,,,,,"DMEA-1595",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1595_DMA",2015,,,,,"Unable to verify (link to Coeur'd Alene & Pine Creek Antimony broken 2015)","Defense Mineral Exploration Administration-1595",,,,,,,
232,"DMEA-1604X:  Hyde","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1604X",,,,,,,,"DMEA-1604X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1604_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1604X",,,,,,,
233,"DMEA-1641:  Minnie Moore Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1641",,,,,,,,"DMEA-1641",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1641_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1641",,,,,,,
234,"DMEA-1635:  Minnie Moore & Queen of the Hills Mines","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1635",,,,,,,,"DMEA-1635",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1635_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1635",,,,,,,
235,"DMEA-1660:  Hope Group","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1660",,,,,,,,"DMEA-1660",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1660_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1660",,,,,,,
236,"DMEA-1763:  Chamac Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1763",,,,,,,,"DMEA-1763",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1763_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1763",,,,,,,
237,"DMEA-1789:  Lava Manganese Sales Company","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1789",,,,,,,,"DMEA-1789",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1789_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1789",,,,,,,
238,"DMEA-1817:  Big It Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1817",,,,,,,,"DMEA-1817",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/1817_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1817",,,,,,,
239,"DMEA-1894:  Red Bird Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-1894",,,,,,,,"DMEA-1894",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/1894_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-1894",,,,,,,
240,"DMEA-2008:  Worm Creek Manganese Prospect","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2008",,,,,,,,"DMEA-2008",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2008_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2008",,,,,,,
241,"DMEA-2076:  Berrett & Ricks Prospect","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2076",,,,,,,,"DMEA-2076",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2076_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2076",,,,,,,
242,"DMEA-2116:  Granite Queen","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2116",,,,,,,,"DMEA-2116",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2116_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2116",,,,,,,
243,"DMEA-2149:  Big Doe Zinc Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2149",,,,,,,,"DMEA-2149",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2149_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2149",,,,,,,
244,"DMEA-2164:  Wolf Lodge Co.","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2164",,,,,,,,"DMEA-2164",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2164_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2164",,,,,,,
245,"DMEA-2185X:  Golden Anchor Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2185X",,,,,,,,"DMEA-2185X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2185_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2185X",,,,,,,
246,"DMEA-2213:  Meadow View Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2213",,,,,,,,"DMEA-2213",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dma/2213_DMA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2213",,,,,,,
247,"DMEA-2235:  War Eagle mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2235",,,,,,,,"DMEA-2235",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2235_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2235",,,,,,,
248,"DMEA-2236:  Conjecture Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2236",,,,,,,,"DMEA-2236",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2236_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2236",,,,,,,
249,"DMEA-2237:  New Hilarity Mine",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2237",,,,,,,,"DMEA-2237",,,,,,"http://minerals.usgs.gov/dockets/id.htm",2015,,,,,"Unable to verify (link to New Hilarity Mine broken)","Defense Mineral Exploration Administration-2237",,,,,,,
250,"DMEA-2264:  White Hawk Basin","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2264",,,,,,,,"DMEA-2264",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2264_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2264",,,,,,,
251,"DMEA-2265:  Paddy Flat Placer","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2265",,,,,,,,"DMEA-2265",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2265_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2265",,,,,,,
252,"DMEA-2268:  Great Western Mine","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2268",,,,,,,,"DMEA-2268",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2268_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2268",,,,,,,
253,"DMEA-2351:  Sidney Mine",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2351",,,,,,,,"DMEA-2351",,,,,,"http://minerals.usgs.gov/dockets/id.htm",2015,,,,,"Unable to verify (link to Sidney Mine broken)","Defense Mineral Exploration Administration-2351",,,,,,,
254,"DMEA-2355:  Pungo Creek and Pungo Creek No. 1 to No. 6 inclus","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2355",,,,,,,,"DMEA-2355",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2355_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2355",,,,,,,
255,"DMEA-2373:  Hood River Lead and Zinc Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2373",,,,,,,,"DMEA-2373",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2373_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2373",,,,,,,
256,"DMEA-2396:  Meyers Cove","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2396",,,,,,,,"DMEA-2396",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2396_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2396",,,,,,,
257,"DMEA-2417:  Even Chance Mine Claim","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2417",,,,,,,,"DMEA-2417",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2417_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2417",,,,,,,
258,"DMEA-2420:  East Hypotheek Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2420",,,,,,,,"DMEA-2420",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2420_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2420",,,,,,,
259,"DMEA-2433:  Blue Lead Prospect","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2433",,,,,,,,"DMEA-2433",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2433_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2433",,,,,,,
260,"DMEA-2436:  Stevenson Property","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2436",,,,,,,,"DMEA-2436",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2436_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2436",,,,,,,
261,"DMEA-2442:  None Identified","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2442",,,,,,,,"DMEA-2442",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2442_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2442",,,,,,,
262,"DMEA-2452X:  Union and California Creek","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2452X",,,,,,,,"DMEA-2452X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2452_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2452X",,,,,,,
263,"DMEA-2457:  Fire Chief Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2457",,,,,,,,"DMEA-2457",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2457_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2457",,,,,,,
264,"DMEA-2474:  Tungstar Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2474",,,,,,,,"DMEA-2474",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2474_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2474",,,,,,,
265,"DMEA-2502:  Champion Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2502",,,,,,,,"DMEA-2502",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2502_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2502",,,,,,,
266,"DMEA-2505:  Tafte Prospect","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2505",,,,,,,,"DMEA-2505",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2505_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2505",,,,,,,
267,"DMEA-2506:  Tamerack-Sherman Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2506",,,,,,,,"DMEA-2506",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2506_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2506",,,,,,,
268,"DMEA-2507:  Property near Addy, Id.","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2507",,,,,,,,"DMEA-2507",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2507_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2507",,,,,,,
269,"DMEA-2513:  Worthing-Kaufman Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2513",,,,,,,,"DMEA-2513",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2513_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2513",,,,,,,
270,"DMEA-2520X:  M.J. Kouba Pegmatite Property","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2520X",,,,,,,,"DMEA-2520X",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2520_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2520X",,,,,,,
271,"DMEA-2526:  Sparkplug Prospect","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2526",,,,,,,,"DMEA-2526",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2526_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2526",,,,,,,
272,"DMEA-2532:  Lucky Strike Prospect","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2532",,,,,,,,"DMEA-2532",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2532_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2532",,,,,,,
273,"DMEA-2535:  Wonder Claim Group","1953",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2535",,,,,,,,"DMEA-2535",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2535_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2535",,,,,,,
274,"DMEA-2536:  Placer Deposits","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2536",,,,,,,,"DMEA-2536",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2536_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2536",,,,,,,
275,"DMEA-2540:  Bismark Mining Co.","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2540",,,,,,,,"DMEA-2540",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2540_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2540",,,,,,,
276,"DMEA-2571:  Marble Mountain Claims","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2571",,,,,,,,"DMEA-2571",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2571_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2571",,,,,,,
277,"DMEA-2572:  Pioneer Group","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2572",,,,,,,,"DMEA-2572",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2572_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2572",,,,,,,
278,"DMEA-2607:  Muscovite Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2607",,,,,,,,"DMEA-2607",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2607_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2607",,,,,,,
279,"DMEA-2635:  Ima Mine","1953",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2635",,,,,,,,"DMEA-2635",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2635_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2635",,,,,,,
280,"DMEA-2636:  Yellow Pine Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2636",,,,,,,,"DMEA-2636",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2636_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2636",,,,,,,
281,"DMEA-2637:  Golconda Mine","1953",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2637",,,,,,,,"DMEA-2637",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2637_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2637",,,,,,,
282,"DMEA-2639:  Half Moon Claims","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2639",,,,,,,,"DMEA-2639",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2639_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2639",,,,,,,
283,"DMEA-2690:  Lakow Flats Placer","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2690",,,,,,,,"DMEA-2690",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2690_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2690",,,,,,,
284,"DMEA-2692:  Kennan","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2692",,,,,,,,"DMEA-2692",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2692_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2692",,,,,,,
285,"DMEA-2719:  Hercules Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2719",,,,,,,,"DMEA-2719",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2719_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2719",,,,,,,
286,"DMEA-2732:  X Y Z No, 1, 2 & 3","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2732",,,,,,,,"DMEA-2732",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2732_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2732",,,,,,,
287,"DMEA-2764:  Crescent Mine",,FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2764",,,,,,,,"DMEA-2764",,,,,,"http://minerals.usgs.gov/dockets/id.htm",2015,,,,,"Unabel to verify (.pdf for Crescent Mine corrupted)","Defense Mineral Exploration Administration-2764",,,,,,,
288,"DMEA-2781:  Hull's Big Creek Property","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2781",,,,,,,,"DMEA-2781",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2781_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2781",,,,,,,
289,"DMEA-2795:  Warm Springs","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2795",,,,,,,,"DMEA-2795",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2795_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2795",,,,,,,
290,"DMEA-2806:  Merry Blue Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2806",,,,,,,,"DMEA-2806",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2806_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2806",,,,,,,
291,"DMEA-2813:  Couer d'Alene Antimony Mine","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-2813",,,,,,,,"DMEA-2813",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/2813_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-2813",,,,,,,
